Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status,Collection,Image Position
lançamento-camisa-flamengo-feminina-2024/25-away,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD1.png?v=1706814073"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD2.png?v=1706814097"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SPACESPORTSD3.png?v=1706814118"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away",Size,P,lançamento-camisa-flamengo-feminina-2024/25-away-P,"29,90",https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_1600x.png?v=1712789655,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_2_1600x.png?v=1712789655,,,,,,,,,,,,2
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_4_1600x.png?v=1712789655,,,,,,,,,,,,3
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_3_1600x.png?v=1712789655,,,,,,,,,,,,4
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_5_1600x.png?v=1712789655,,,,,,,,,,,,5
lançamento-camisa-flamengo-feminina-2024/25-away,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD1.png?v=1706814073"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD2.png?v=1706814097"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SPACESPORTSD3.png?v=1706814118"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away",Size,M,lançamento-camisa-flamengo-feminina-2024/25-away-M,"29,90",https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_1600x.png?v=1712789655,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_2_1600x.png?v=1712789655,,,,,,,,,,,,2
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_4_1600x.png?v=1712789655,,,,,,,,,,,,3
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_3_1600x.png?v=1712789655,,,,,,,,,,,,4
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_5_1600x.png?v=1712789655,,,,,,,,,,,,5
lançamento-camisa-flamengo-feminina-2024/25-away,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD1.png?v=1706814073"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD2.png?v=1706814097"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SPACESPORTSD3.png?v=1706814118"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away",Size,G,lançamento-camisa-flamengo-feminina-2024/25-away-G,"29,90",https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_1600x.png?v=1712789655,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_2_1600x.png?v=1712789655,,,,,,,,,,,,2
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_4_1600x.png?v=1712789655,,,,,,,,,,,,3
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_3_1600x.png?v=1712789655,,,,,,,,,,,,4
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_5_1600x.png?v=1712789655,,,,,,,,,,,,5
lançamento-camisa-flamengo-feminina-2024/25-away,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD1.png?v=1706814073"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD2.png?v=1706814097"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SPACESPORTSD3.png?v=1706814118"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away",Size,GG,lançamento-camisa-flamengo-feminina-2024/25-away-GG,"29,90",https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_1600x.png?v=1712789655,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_2_1600x.png?v=1712789655,,,,,,,,,,,,2
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_4_1600x.png?v=1712789655,,,,,,,,,,,,3
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_3_1600x.png?v=1712789655,,,,,,,,,,,,4
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_5_1600x.png?v=1712789655,,,,,,,,,,,,5
lançamento-camisa-flamengo-feminina-2024/25-away,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD1.png?v=1706814073"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD2.png?v=1706814097"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SPACESPORTSD3.png?v=1706814118"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away",Size,XG,lançamento-camisa-flamengo-feminina-2024/25-away-XG,"29,90",https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_1600x.png?v=1712789655,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_2_1600x.png?v=1712789655,,,,,,,,,,,,2
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_4_1600x.png?v=1712789655,,,,,,,,,,,,3
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_3_1600x.png?v=1712789655,,,,,,,,,,,,4
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_5_1600x.png?v=1712789655,,,,,,,,,,,,5
lançamento-camisa-flamengo-feminina-2024/25-away,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD1.png?v=1706814073"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SpaceSportsD2.png?v=1706814097"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/SPACESPORTSD3.png?v=1706814118"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away",Size,Não Personalizar,lançamento-camisa-flamengo-feminina-2024/25-away-Não Personalizar,"29,90",https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_1600x.png?v=1712789655,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Flamengo Feminina 2024/25 Away,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_2_1600x.png?v=1712789655,,,,,,,,,,,,2
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_4_1600x.png?v=1712789655,,,,,,,,,,,,3
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_3_1600x.png?v=1712789655,,,,,,,,,,,,4
lançamento-camisa-flamengo-feminina-2024/25-away,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/camisa-flamengo-FEMININA-away-branca-2024-2025_5_1600x.png?v=1712789655,,,,,,,,,,,,5
camisa-vasco-da-gama-2024/25-home,Camisa Vasco da Gama 2024/25 Home,"
                        <h1 data-mce-style=""text-align: center;"" style=""text-align: center;"">
	<span>A camisa do seu time favorito&nbsp;agora disponível&nbsp;em nossa loja!</span>
</h1>

<p data-mce-style=""text-align: left;"" style=""text-align: left;""><span>Feitas com tecido de poliéster de alta qualidade e tecnologia respirável,&nbsp;nossas camisas&nbsp;são confortáveis, resistentes e mantém você fresco(a). Com design&nbsp;exclusivo&nbsp;e cores autênticas, é perfeita para torcedores e jogadores, seja nas arquibancadas ou até mesmo dentro das quadras. Adquira o seu manto agora mesmo e mostre seu orgulho pelo seu time com conforto e qualidade garantida.</span></p>
<span style=""color: #0c0c0c;""><strong>ESPECIFICAÇÕES</strong>:</span>
<br>
<br><span style=""color: #0c0c0c;""><strong>Material:</strong>&nbsp;100% Poliéster/Algodão</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo:</strong> Camisa Esportiva</span>
<br><span style=""color: #0c0c0c;""><strong>Manga:</strong> Curta</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de estampa:</strong>&nbsp;Silk</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de costura:</strong> Bordado</span>
<br><span style=""color: #0c0c0c;""><strong>Garantia:</strong> Contra defeitos de fabricação e personalização</span>

                      ",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, Camisa Vasco da Gama 2024/25 Home",Size,P,camisa-vasco-da-gama-2024/25-home-P,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA_1600x.png?v=1710530930,TRUE,shopify,100,deny,manual,TRUE,TRUE,Camisa Vasco da Gama 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
camisa-vasco-da-gama-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA-2_1600x.png?v=1710530930,,,,,,,,,,,,2
camisa-vasco-da-gama-2024/25-home,Camisa Vasco da Gama 2024/25 Home,"
                        <h1 data-mce-style=""text-align: center;"" style=""text-align: center;"">
	<span>A camisa do seu time favorito&nbsp;agora disponível&nbsp;em nossa loja!</span>
</h1>

<p data-mce-style=""text-align: left;"" style=""text-align: left;""><span>Feitas com tecido de poliéster de alta qualidade e tecnologia respirável,&nbsp;nossas camisas&nbsp;são confortáveis, resistentes e mantém você fresco(a). Com design&nbsp;exclusivo&nbsp;e cores autênticas, é perfeita para torcedores e jogadores, seja nas arquibancadas ou até mesmo dentro das quadras. Adquira o seu manto agora mesmo e mostre seu orgulho pelo seu time com conforto e qualidade garantida.</span></p>
<span style=""color: #0c0c0c;""><strong>ESPECIFICAÇÕES</strong>:</span>
<br>
<br><span style=""color: #0c0c0c;""><strong>Material:</strong>&nbsp;100% Poliéster/Algodão</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo:</strong> Camisa Esportiva</span>
<br><span style=""color: #0c0c0c;""><strong>Manga:</strong> Curta</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de estampa:</strong>&nbsp;Silk</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de costura:</strong> Bordado</span>
<br><span style=""color: #0c0c0c;""><strong>Garantia:</strong> Contra defeitos de fabricação e personalização</span>

                      ",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, Camisa Vasco da Gama 2024/25 Home",Size,M,camisa-vasco-da-gama-2024/25-home-M,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA_1600x.png?v=1710530930,TRUE,shopify,100,deny,manual,TRUE,TRUE,Camisa Vasco da Gama 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
camisa-vasco-da-gama-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA-2_1600x.png?v=1710530930,,,,,,,,,,,,2
camisa-vasco-da-gama-2024/25-home,Camisa Vasco da Gama 2024/25 Home,"
                        <h1 data-mce-style=""text-align: center;"" style=""text-align: center;"">
	<span>A camisa do seu time favorito&nbsp;agora disponível&nbsp;em nossa loja!</span>
</h1>

<p data-mce-style=""text-align: left;"" style=""text-align: left;""><span>Feitas com tecido de poliéster de alta qualidade e tecnologia respirável,&nbsp;nossas camisas&nbsp;são confortáveis, resistentes e mantém você fresco(a). Com design&nbsp;exclusivo&nbsp;e cores autênticas, é perfeita para torcedores e jogadores, seja nas arquibancadas ou até mesmo dentro das quadras. Adquira o seu manto agora mesmo e mostre seu orgulho pelo seu time com conforto e qualidade garantida.</span></p>
<span style=""color: #0c0c0c;""><strong>ESPECIFICAÇÕES</strong>:</span>
<br>
<br><span style=""color: #0c0c0c;""><strong>Material:</strong>&nbsp;100% Poliéster/Algodão</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo:</strong> Camisa Esportiva</span>
<br><span style=""color: #0c0c0c;""><strong>Manga:</strong> Curta</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de estampa:</strong>&nbsp;Silk</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de costura:</strong> Bordado</span>
<br><span style=""color: #0c0c0c;""><strong>Garantia:</strong> Contra defeitos de fabricação e personalização</span>

                      ",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, Camisa Vasco da Gama 2024/25 Home",Size,G,camisa-vasco-da-gama-2024/25-home-G,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA_1600x.png?v=1710530930,TRUE,shopify,100,deny,manual,TRUE,TRUE,Camisa Vasco da Gama 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
camisa-vasco-da-gama-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA-2_1600x.png?v=1710530930,,,,,,,,,,,,2
camisa-vasco-da-gama-2024/25-home,Camisa Vasco da Gama 2024/25 Home,"
                        <h1 data-mce-style=""text-align: center;"" style=""text-align: center;"">
	<span>A camisa do seu time favorito&nbsp;agora disponível&nbsp;em nossa loja!</span>
</h1>

<p data-mce-style=""text-align: left;"" style=""text-align: left;""><span>Feitas com tecido de poliéster de alta qualidade e tecnologia respirável,&nbsp;nossas camisas&nbsp;são confortáveis, resistentes e mantém você fresco(a). Com design&nbsp;exclusivo&nbsp;e cores autênticas, é perfeita para torcedores e jogadores, seja nas arquibancadas ou até mesmo dentro das quadras. Adquira o seu manto agora mesmo e mostre seu orgulho pelo seu time com conforto e qualidade garantida.</span></p>
<span style=""color: #0c0c0c;""><strong>ESPECIFICAÇÕES</strong>:</span>
<br>
<br><span style=""color: #0c0c0c;""><strong>Material:</strong>&nbsp;100% Poliéster/Algodão</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo:</strong> Camisa Esportiva</span>
<br><span style=""color: #0c0c0c;""><strong>Manga:</strong> Curta</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de estampa:</strong>&nbsp;Silk</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de costura:</strong> Bordado</span>
<br><span style=""color: #0c0c0c;""><strong>Garantia:</strong> Contra defeitos de fabricação e personalização</span>

                      ",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, Camisa Vasco da Gama 2024/25 Home",Size,GG,camisa-vasco-da-gama-2024/25-home-GG,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA_1600x.png?v=1710530930,TRUE,shopify,100,deny,manual,TRUE,TRUE,Camisa Vasco da Gama 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
camisa-vasco-da-gama-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA-2_1600x.png?v=1710530930,,,,,,,,,,,,2
camisa-vasco-da-gama-2024/25-home,Camisa Vasco da Gama 2024/25 Home,"
                        <h1 data-mce-style=""text-align: center;"" style=""text-align: center;"">
	<span>A camisa do seu time favorito&nbsp;agora disponível&nbsp;em nossa loja!</span>
</h1>

<p data-mce-style=""text-align: left;"" style=""text-align: left;""><span>Feitas com tecido de poliéster de alta qualidade e tecnologia respirável,&nbsp;nossas camisas&nbsp;são confortáveis, resistentes e mantém você fresco(a). Com design&nbsp;exclusivo&nbsp;e cores autênticas, é perfeita para torcedores e jogadores, seja nas arquibancadas ou até mesmo dentro das quadras. Adquira o seu manto agora mesmo e mostre seu orgulho pelo seu time com conforto e qualidade garantida.</span></p>
<span style=""color: #0c0c0c;""><strong>ESPECIFICAÇÕES</strong>:</span>
<br>
<br><span style=""color: #0c0c0c;""><strong>Material:</strong>&nbsp;100% Poliéster/Algodão</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo:</strong> Camisa Esportiva</span>
<br><span style=""color: #0c0c0c;""><strong>Manga:</strong> Curta</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de estampa:</strong>&nbsp;Silk</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de costura:</strong> Bordado</span>
<br><span style=""color: #0c0c0c;""><strong>Garantia:</strong> Contra defeitos de fabricação e personalização</span>

                      ",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, Camisa Vasco da Gama 2024/25 Home",Size,XG,camisa-vasco-da-gama-2024/25-home-XG,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA_1600x.png?v=1710530930,TRUE,shopify,100,deny,manual,TRUE,TRUE,Camisa Vasco da Gama 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
camisa-vasco-da-gama-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA-2_1600x.png?v=1710530930,,,,,,,,,,,,2
camisa-vasco-da-gama-2024/25-home,Camisa Vasco da Gama 2024/25 Home,"
                        <h1 data-mce-style=""text-align: center;"" style=""text-align: center;"">
	<span>A camisa do seu time favorito&nbsp;agora disponível&nbsp;em nossa loja!</span>
</h1>

<p data-mce-style=""text-align: left;"" style=""text-align: left;""><span>Feitas com tecido de poliéster de alta qualidade e tecnologia respirável,&nbsp;nossas camisas&nbsp;são confortáveis, resistentes e mantém você fresco(a). Com design&nbsp;exclusivo&nbsp;e cores autênticas, é perfeita para torcedores e jogadores, seja nas arquibancadas ou até mesmo dentro das quadras. Adquira o seu manto agora mesmo e mostre seu orgulho pelo seu time com conforto e qualidade garantida.</span></p>
<span style=""color: #0c0c0c;""><strong>ESPECIFICAÇÕES</strong>:</span>
<br>
<br><span style=""color: #0c0c0c;""><strong>Material:</strong>&nbsp;100% Poliéster/Algodão</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo:</strong> Camisa Esportiva</span>
<br><span style=""color: #0c0c0c;""><strong>Manga:</strong> Curta</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de estampa:</strong>&nbsp;Silk</span>
<br><span style=""color: #0c0c0c;""><strong>Tipo de costura:</strong> Bordado</span>
<br><span style=""color: #0c0c0c;""><strong>Garantia:</strong> Contra defeitos de fabricação e personalização</span>

                      ",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, Camisa Vasco da Gama 2024/25 Home",Size,XGG,camisa-vasco-da-gama-2024/25-home-XGG,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA_1600x.png?v=1710530930,TRUE,shopify,100,deny,manual,TRUE,TRUE,Camisa Vasco da Gama 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
camisa-vasco-da-gama-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-VASCO-2024-RESERVA-BRANCA-2_1600x.png?v=1710530930,,,,,,,,,,,,2
lançamento-camisa-feminina-se-palmeiras-2024/25-home,LANÇAMENTO Camisa Feminina SE Palmeiras 2024/25 Home,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/spacesportsdescricao1palmeiras.png?v=1709076728"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/spacesportsdescricao2palmeiras_480x480.png?v=1709076749"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/spacesportsdescricao3palmeiras_480x480.png?v=1709076757"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Feminina SE Palmeiras 2024/25 Home",Size,P,lançamento-camisa-feminina-se-palmeiras-2024/25-home-P,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-6_1600x.jpg?v=1707160319,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Feminina SE Palmeiras 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA_1600x.png?v=1707160319,,,,,,,,,,,,2
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-1_1600x.png?v=1707160319,,,,,,,,,,,,3
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-2_1600x.png?v=1707160319,,,,,,,,,,,,4
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-4_1600x.png?v=1707160319,,,,,,,,,,,,5
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-3_1600x.png?v=1707160319,,,,,,,,,,,,6
lançamento-camisa-feminina-se-palmeiras-2024/25-home,LANÇAMENTO Camisa Feminina SE Palmeiras 2024/25 Home,"<img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/spacesportsdescricao1palmeiras.png?v=1709076728"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/spacesportsdescricao2palmeiras_480x480.png?v=1709076749"" /><img src=""https://cdn.shopify.com/s/files/1/0746/5680/9258/files/spacesportsdescricao3palmeiras_480x480.png?v=1709076757"" />",SpaceSports,Vestuário e acessórios,Camisas,"Futebol, Camisas, LANÇAMENTO Camisa Feminina SE Palmeiras 2024/25 Home",Size,M,lançamento-camisa-feminina-se-palmeiras-2024/25-home-M,"29,90",https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-6_1600x.jpg?v=1707160319,TRUE,shopify,100,deny,manual,TRUE,TRUE,LANÇAMENTO Camisa Feminina SE Palmeiras 2024/25 Home,Get the latest 2024/25 season jersey now!,active,Camisas Femininas,1
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA_1600x.png?v=1707160319,,,,,,,,,,,,2
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-1_1600x.png?v=1707160319,,,,,,,,,,,,3
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-2_1600x.png?v=1707160319,,,,,,,,,,,,4
lançamento-camisa-feminina-se-palmeiras-2024/25-home,,,,,,,,,,,https://spacesportsfut.com.br/cdn/shop/files/CAMISA-PALMEIRAS-HOME-VERDE-TITULAR-2024-2025-FEMININA-4_1600x.png?v=1707160319,,,,,,,,,,,,5
